shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
74,35,27,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,113,52,96,23,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,6,22,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,57,35,0,34,30,60,98,62,55,45,36,28,19,12,5,2,0,2,
107,13,52,23,92,0,33,52,30,55,45,36,28,19,12,5,2,0,2,
56,98,22,34,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,36,83,17,82,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,105,97,68,0,34,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,79,53,29,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,82,69,95,3,65,73,47,32,7,45,36,28,19,12,5,2,0,2,
95,82,96,15,29,21,56,56,62,55,45,36,28,19,12,5,2,0,2,
98,70,22,40,20,37,68,42,62,55,45,36,28,19,12,5,2,0,2,
95,82,69,34,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,78,103,42,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
43,35,22,61,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
22,35,40,79,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,57,89,108,16,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,98,78,34,40,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,36,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,41,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,106,69,95,65,0,33,24,81,55,45,36,28,19,12,5,2,0,2,
74,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
82,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
105,98,45,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,98,68,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,69,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,95,81,45,93,66,63,34,22,30,49,29,28,19,12,5,2,0,2,
54,70,1,84,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,113,52,96,15,36,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
80,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
47,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
18,52,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,13,22,78,34,29,30,68,62,55,45,36,28,19,12,5,2,0,2,
48,106,82,96,66,76,21,23,80,30,61,19,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,35,22,44,99,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,29,64,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,53,104,68,63,75,55,91,62,55,45,36,28,19,12,5,2,0,2,
87,98,69,95,65,34,15,49,28,17,30,36,28,19,12,5,2,0,2,
24,106,97,68,3,65,73,34,70,30,6,36,28,19,12,5,2,0,2,
24,95,81,45,50,66,70,34,62,55,45,36,28,19,12,5,2,0,2,
107,95,81,82,93,66,33,22,37,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,106,14,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
113,70,96,67,77,103,6,18,22,14,45,36,28,19,12,5,2,0,2,
88,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,69,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,82,46,107,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,70,68,34,107,67,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,109,14,44,11,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,82,20,24,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
93,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,82,97,34,55,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
87,53,97,68,65,75,92,54,28,55,45,36,28,19,12,5,2,0,2,
14,49,97,3,65,74,39,68,62,55,45,36,28,19,12,5,2,0,2,
58,113,52,68,76,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,82,113,67,23,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
15,52,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
63,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
64,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,95,81,96,65,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,35,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,57,52,95,3,65,7,34,6,11,19,44,16,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
39,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
83,41,100,79,59,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,115,20,56,58,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,20,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,58,14,86,82,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,23,46,51,66,65,56,3,62,55,45,36,28,19,12,5,2,0,2,
24,70,29,31,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
74,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
56,42,37,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,69,112,70,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,9,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,41,58,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
17,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,95,81,67,49,40,28,94,62,55,45,36,28,19,12,5,2,0,2,
81,53,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
80,114,15,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,34,27,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,70,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,98,68,111,23,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
111,53,97,95,63,21,8,30,19,79,50,36,28,19,12,5,2,0,2,
30,104,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,69,34,40,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
45,98,78,41,34,40,20,73,50,55,45,36,28,19,12,5,2,0,2,
87,58,58,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
70,5,34,40,42,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,116,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
70,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,55,86,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,82,105,35,41,1,39,44,11,55,45,36,28,19,12,5,2,0,2,
53,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
64,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,98,69,95,95,88,35,80,62,55,45,36,28,19,12,5,2,0,2,
107,35,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
12,59,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
78,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
97,36,20,34,15,40,9,89,62,55,45,36,28,19,12,5,2,0,2,
98,23,114,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,70,66,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,70,22,43,5,55,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,70,107,37,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,87,105,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
111,79,18,11,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
79,28,73,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,80,28,46,58,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,41,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
90,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,38,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,104,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,70,96,7,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
16,46,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,13,48,104,23,43,52,96,62,55,45,36,28,19,12,5,2,0,2,
48,53,69,78,77,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,13,52,67,76,15,41,68,62,55,45,36,28,19,12,5,2,0,2,
111,53,97,112,66,89,25,20,34,63,45,36,28,19,12,5,2,0,2,
36,114,14,50,37,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,115,96,3,86,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
70,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,23,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
111,58,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
111,52,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,67,107,23,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,63,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
45,95,81,68,76,34,15,12,81,55,45,36,28,19,12,5,2,0,2,
71,51,58,42,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,67,34,23,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
68,69,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
64,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
53,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
39,82,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
83,23,78,41,86,81,56,42,52,55,45,36,28,19,12,5,2,0,2,
87,42,107,86,27,55,47,68,62,55,45,36,28,19,12,5,2,0,2,
14,33,97,21,15,80,47,68,62,55,45,36,28,19,12,5,2,0,2,
43,15,42,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,47,39,34,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
87,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
83,70,35,49,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
70,35,14,23,40,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
0,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,70,51,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
70,80,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
80,35,90,102,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
56,98,69,78,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
91,104,42,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,74,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,70,34,83,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,98,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
38,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
74,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,69,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,70,34,29,23,37,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,47,82,96,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,44,86,68,40,53,57,68,62,55,45,36,28,19,12,5,2,0,2,
80,35,36,42,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
102,90,51,40,44,55,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,95,81,104,65,44,83,68,62,55,45,36,28,19,12,5,2,0,2,
58,113,78,79,34,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,1,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,69,0,34,96,101,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,101,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
39,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
16,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
111,1,9,50,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,78,45,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,20,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,41,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,98,34,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
60,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,28,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
80,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,14,20,88,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,28,4,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
83,98,14,23,40,42,69,68,62,55,45,36,28,19,12,5,2,0,2,
3,78,18,40,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,98,69,98,34,74,29,48,74,73,38,36,28,19,12,5,2,0,2,
58,47,52,82,93,68,39,68,62,55,45,36,28,19,12,5,2,0,2,
42,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
53,104,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,114,22,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,57,86,96,66,83,33,30,44,55,45,36,28,19,12,5,2,0,2,
42,28,92,102,42,59,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,44,97,71,54,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,53,97,34,21,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,73,103,64,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
111,115,69,71,44,55,35,68,62,55,45,36,28,19,12,5,2,0,2,
14,98,96,67,76,83,33,9,62,55,45,36,28,19,12,5,2,0,2,
24,20,63,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,98,113,68,41,48,79,24,62,55,45,36,28,19,12,5,2,0,2,
104,23,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
70,35,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
84,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
114,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
53,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
39,82,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,53,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,58,10,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,35,14,36,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,13,32,51,92,83,33,49,81,10,45,36,28,19,12,5,2,0,2,
98,70,20,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,53,16,40,64,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,35,62,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,29,93,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,59,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,52,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,83,69,23,34,15,59,91,62,55,45,36,28,19,12,5,2,0,2,
24,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,79,101,79,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
87,70,96,86,28,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
87,95,97,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
53,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,21,40,44,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
74,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
16,23,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
45,106,69,95,3,63,73,68,62,55,45,36,28,19,12,5,2,0,2,
107,41,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,108,56,51,77,34,55,77,19,32,45,36,28,19,12,5,2,0,2,
39,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,38,42,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
56,98,41,106,23,40,69,68,62,55,45,36,28,19,12,5,2,0,2,
3,62,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,115,13,23,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
37,35,40,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
45,6,33,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
38,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
112,41,58,50,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,21,51,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,15,73,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
39,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
1,38,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,98,40,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,98,89,102,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,52,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
21,86,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,3,22,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
